Activity Number,BBE Status,OLI Category,Line #
1-35UXX0M3,BBE Available,SysAdded,5
1-35UZ60DU,BBE Closed,SysAdded,5
1-35UZEMHM,BBE Deleted,Deleted,5
1-35UZS9QW,BBE Available,SysAdded,5
1-35V23C5M,BBE Deleted,Deleted,5
1-35V28OFT,BBE Closed,SysAdded,5
1-35V2OATY,BBE Closed,SysAdded,5
1-35V37XA6,BBE Closed,SysAdded,5
1-35V5IWH7,BBE Available,New,5
1-35V7DO2E,BBE Available,New,5
1-35V7N98J,BBE Closed,SysAdded,5
1-35V9CE8A,BBE Closed,New,5
1-35V9TNUI,BBE Available,SysAdded,5
1-35VA2NWR,BBE Closed,New,5
1-35VB0FE8,BBE Available,SysAdded,5
1-35VCFDR7,BBE Available,SysAdded,5
1-35VCZXQS,BBE Closed,SysAdded,5
1-35VD9S7C,BBE Available,SysAdded,5
1-35VDJG15,BBE Closed,New,5
1-35VE738M,BBE Available,SysAdded,5
1-35VGJVWE,BBE Deleted,Deleted,5
1-35VJ2QVQ,BBE Closed,SysAdded,5
1-35VKAZ0A,BBE Available,New,5
1-35VKJEE3,BBE Closed,SysAdded,5
1-35VKX9JU,BBE Closed,SysAdded,5
1-35VLOOXG,BBE Closed,New,5
1-35VM83WN,BBE Deleted,Deleted,5
1-35VNGM1W,BBE Available,SysAdded,5
1-35VNKUTR,BBE Deleted,Deleted,5
1-35VOP4GD,BBE Available,SysAdded,5
1-35VP74QH,BBE Available,New,5
1-35VP7NRP,BBE Closed,SysAdded,5
1-35VPPNHS,BBE Closed,SysAdded,5
1-35VQAVTS,BBE Closed,SysAdded,5
1-35VQOG65,BBE Available,SysAdded,5
1-35VQXJIW,BBE Available,New,5
1-35VR1B6U,BBE Deleted,Deleted,5
1-35VRFJW6,BBE Available,SysAdded,5
1-35VRHZ3G,BBE Deleted,Deleted,5
1-35VS9MHR,BBE Deleted,Deleted,5
1-35VUNEI4,BBE Closed,SysAdded,5
1-35VV9D4K,BBE Deleted,Deleted,5
1-35VVBCC3,BBE Available,New,5
1-35VVC4IY,BBE Deleted,Deleted,5
1-35VVL18J,BBE Available,SysAdded,5
1-35VVSL0E,BBE Deleted,Deleted,5
1-35VVZCSE,BBE Closed,SysAdded,5
1-35VX1DCG,BBE Available,New,5
1-35VXQ230,BBE Deleted,Deleted,5
1-35VYV5US,BBE Available,New,5
1-35VZIWF8,BBE Available,SysAdded,5
1-35VZRFX3,BBE Available,SysAdded,5
1-35W0D90B,BBE Closed,SysAdded,5
1-35W0TRLA,BBE Available,SysAdded,5
1-35OZFSFN,BBE Available,New,4
1-35PD2S34,BBE Deleted,Deleted,4
1-35PI9DVK,BBE Available,SysAdded,4
1-35RH6FIJ,BBE Available,New,4
1-35SJUYQ9,BBE Available,SysAdded,4
1-35SR9LCD,BBE Available,SysAdded,4
1-35T0PEIJ,BBE Available,New,4
1-35T5ASMU,BBE Closed,New,4
1-35T9SUHR,BBE Available,New,4
1-35TAGOHR,BBE Available,New,4
1-35TCKK8U,BBE Available,New,4
1-35TF567V,BBE Available,New,4
1-35TFE4RQ,BBE Available,SysAdded,4
1-35TGGTNH,BBE Deleted,Deleted,4
1-35TJFN44,BBE Available,New,4
1-35TSALD3,BBE Available,SysAdded,4
1-35TYQU5T,BBE Deleted,Deleted,4
1-35TYRDA6,BBE Closed,New,4
1-35U2V3TK,BBE Available,SysAdded,4
1-35U3A3MC,BBE Closed,SysAdded,4
1-35U58ILN,BBE Deleted,Deleted,4
1-35UAD8Y0,BBE Available,SysAdded,4
1-35UGNM2B,BBE Deleted,Deleted,4
1-35UIE66N,BBE Deleted,Deleted,4
1-35UJNK55,BBE Available,SysAdded,4
1-35UK5A61,BBE Closed,SysAdded,4
1-35ULUE0N,BBE Available,New,4
1-35UMFJZ1,BBE Deleted,Deleted,4
1-35UOXQZZ,BBE Available,SysAdded,4
1-35UP5ZFY,BBE Deleted,Deleted,4
1-35UPA9YG,BBE Available,New,4
1-35UWY9BS,BBE Available,New,4
1-35V0YVVI,BBE Available,SysAdded,4
1-35V1DSUR,BBE Closed,SysAdded,4
1-35V1UOVG,BBE Closed,SysAdded,4
1-35V57S9Z,BBE Available,New,4
1-35V64NDT,BBE Closed,SysAdded,4
1-35V6RDF3,BBE Available,New,4
